id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease,change_flag,max_seats_change_flag
JMAN_10069485,2023-03-10,1,0,0,0,0,0,0,0,1,15,1,0,3,0,Manufacturing & Resources,50 - 99,0,0,0,,,,,0,10,0,0,2.0,0,53,3528.0,3528.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,6.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,0,1
JMAN_10410810,2023-03-10,0,1,1,0,0,0,0,0,1,9,1,0,1,0,Corporate Services,250 - 499,0,0,0,,0.0,,7.0,1,10,0,0,2.0,53,20,45360.0,45360.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,30.0,0.0,8.0,21.0,0,1,0.266666667,0.380952381,0,1,1,1
JMAN_10429945,2023-01-13,0,1,1,0,0,0,1,0,0,5,1,0,1,0,Financial Services,250 - 499,0,100,15,,,,,0,5,0,0,10.0,7,792,172500.0,346500.0,174000.0,0.0,89615.225,0.0,-42000.0,1,1,0,100,100,0,220.0,0.176190476,209.0,210.0,0,1,0.954545455,0.995238095,0,1,0,1
JMAN_10429945,2023-02-24,0,1,1,0,0,0,1,0,0,6,1,0,1,0,Financial Services,250 - 499,1,100,16,,,,,0,8,0,0,11.0,7,801,182250.0,346500.0,164250.0,0.0,81774.31591,0.0,-42000.0,1,1,0,100,100,0,230.0,0.187772926,220.0,220.0,0,1,0.995652174,1.0,0,1,0,1
JMAN_10429945,2023-03-10,0,1,1,0,0,0,1,0,0,6,1,0,1,0,Financial Services,250 - 499,1,100,17,,,,,0,6,0,0,12.0,5,725,192000.0,346500.0,154500.0,0.0,73850.40287,0.0,-42000.0,1,1,0,100,100,0,240.0,0.175,220.0,220.0,0,1,1.0,1.0,0,0,0,1
JMAN_10473228,2023-01-27,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,6,0,0,4.0,3,139,54796.44,66676.44,11880.0,0.0,11449.08458,0.0,-2227.56,1,1,0,100,100,0,47.0,0.0,45.0,46.0,0,1,0.978723404,0.97826087,1,0,0,1
JMAN_10473228,2023-02-03,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,18,,-100.0,,5.0,0,10,0,0,5.0,0,74,54796.44,66676.44,11880.0,0.0,11449.08458,0.0,-2227.56,1,1,0,100,100,0,48.0,0.0,45.0,46.0,0,0,0.979166667,0.97826087,1,0,0,1
JMAN_10473228,2023-03-31,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,11,0,0,6.0,4,78,58360.44,66676.44,8316.0,0.0,8022.450782,0.0,-2227.56,1,1,0,100,100,0,50.0,0.020833333,47.0,48.0,0,1,0.96,0.979166667,0,1,0,1
JMAN_10583513,2023-02-10,0,1,1,0,0,0,1,0,0,8,1,0,2,0,Corporate Services,250 - 499,0,83,42,-33.3,-33.3,3.0,3.0,0,1,0,0,2.0,28,4372,203700.48,201960.0,-1740.48,0.0,41580.0,-48000.0,-4679.52,1,1,0,100,100,0,135.0,0.307692308,130.0,130.0,0,1,0.962962963,1.0,0,1,0,1
JMAN_10583513,2023-03-24,0,1,1,0,0,0,1,0,0,8,1,0,2,0,Corporate Services,250 - 499,0,82,42,-100.0,-33.3,0.0,3.0,0,2,0,0,3.0,9,2442,221520.48,207900.0,-13620.48,0.0,29700.0,-48000.0,-4679.52,1,1,0,100,100,0,150.0,0.316176471,135.0,135.0,0,1,0.906666667,1.0,0,1,0,1
